key,question,group,answer,correction,references
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack",Democrat,Worry a little,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack",Republican,Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","$100,000 or more",Worry a little,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","Less than $30,000",Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills",Democrat,Worry a little,Worry a lot,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills",Republican,Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","$100,000 or more",Worry a little,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","Less than $30,000",Worry a little,Worry a lot,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime",Democrat,Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime",Republican,Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","$100,000 or more",Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","Less than $30,000",Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",Democrat,Do not worry at all,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",Republican,Do not worry at all,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","$100,000 or more",Do not worry at all,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","Less than $30,000",Do not worry at all,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,Democrat,"Yes, I currently own","No, I have never owned","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,Republican,"Yes, I currently own","Yes, I currently own","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"$100,000 or more","Yes, I currently own","Yes, I currently own","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"Less than $30,000","Yes, I currently own","No, I have never owned","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",Democrat,Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",Republican,Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","$100,000 or more",Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","Less than $30,000",Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",Democrat,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
