key,question,references,qkey,group,attribute,D_H,answer
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYB_W26,Overall,Overall,"[0.15446245, 0.42587239, 0.41966516]",Worry a little
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYB_W26,Democrat,POLPARTY,"[0.23112687, 0.38129237, 0.38758075]",Do not worry at all
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYB_W26,Republican,POLPARTY,"[0.13169827, 0.48213595, 0.38616577]",Worry a little
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYB_W26,"$100,000 or more",INCOME,"[0.07486106, 0.40188815, 0.52325079]",Do not worry at all
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYB_W26,"Less than $30,000",INCOME,"[0.24142035, 0.41801536, 0.34056429]",Worry a little
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYD_W26,Overall,Overall,"[0.33814359, 0.40568232, 0.25617409]",Worry a little
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYD_W26,Democrat,POLPARTY,"[0.41520411, 0.3707299, 0.21406599]",Worry a lot
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYD_W26,Republican,POLPARTY,"[0.23737807, 0.40528625, 0.35733568]",Worry a little
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYD_W26,"$100,000 or more",INCOME,"[0.11843006, 0.42764191, 0.45392803]",Do not worry at all
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYD_W26,"Less than $30,000",INCOME,"[0.4999227, 0.34554886, 0.15452844]",Worry a lot
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYE_W26,Overall,Overall,"[0.1273958, 0.54231361, 0.33029059]",Worry a little
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYE_W26,Democrat,POLPARTY,"[0.15041751, 0.54613192, 0.30345057]",Worry a little
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYE_W26,Republican,POLPARTY,"[0.09724897, 0.53820463, 0.3645464]",Worry a little
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYE_W26,"$100,000 or more",INCOME,"[0.03761801, 0.53359056, 0.42879143]",Worry a little
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYE_W26,"Less than $30,000",INCOME,"[0.17566302, 0.55346637, 0.27087062]",Worry a little
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYF_W26,Overall,Overall,"[0.11531283, 0.37589373, 0.50879344]",Do not worry at all
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYF_W26,Democrat,POLPARTY,"[0.17085345, 0.42362693, 0.40551962]",Worry a little
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYF_W26,Republican,POLPARTY,"[0.07613685, 0.35622009, 0.56764306]",Do not worry at all
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYF_W26,"$100,000 or more",INCOME,"[0.0327622, 0.29726264, 0.66997516]",Do not worry at all
